project_type,acquisition_stage,land_area,affected_families,compensation_completion_pct,pending_approvals,legal_disputes,possession_pct,rehabilitation_completion_pct,stakeholder_response_days,elapsed_acquisition_days,delayed
IRRIGATION,NOTIFICATION,94.57,337,56.1,2,3,40.7,52.3,67,1017,1
IRRIGATION,VALUATION,190.33,180,8.2,1,2,2.2,56.7,43,302,1
IRRIGATION,COMPLETED,100.8,607,25.9,2,3,54.7,92.5,11,498,1
IRRIGATION,REHABILITATION,36.89,83,10.1,3,2,88.8,29.7,61,107,1
RAILWAY,COMPLETED,88.39,45,68.7,5,4,82.2,39.0,8,902,1
IRRIGATION,NOTIFICATION,153.48,197,90.5,0,4,35.4,14.7,3,81,0
ROAD,VALUATION,14.07,613,71.9,5,4,26.9,48.2,34,33,1
ROAD,COMPENSATION,233.32,567,45.5,3,0,32.4,73.0,9,1188,1
IRRIGATION,REHABILITATION,131.32,693,32.9,5,0,20.4,84.6,81,458,1
IRRIGATION,POSSESSION,118.92,618,51.0,5,3,26.2,30.6,6,248,1
RAILWAY,COMPENSATION,58.45,39,61.8,3,3,12.5,22.5,40,913,1
INDUSTRIAL,COMPLETED,205.56,627,6.4,1,2,82.2,72.4,1,128,0
ROAD,POSSESSION,66.81,525,73.3,1,2,73.7,18.4,20,269,0
RAILWAY,COMPENSATION,53.21,138,70.8,2,4,66.3,85.5,55,292,0
URBAN,SURVEY,3.1,166,99.1,1,3,14.1,66.0,72,1027,1
INDUSTRIAL,REHABILITATION,73.77,657,22.5,0,3,37.2,35.2,38,1198,1
RAILWAY,COMPLETED,103.89,38,13.2,1,2,47.3,79.2,39,896,1
INDUSTRIAL,VALUATION,179.63,516,39.5,3,2,99.2,62.5,59,859,1
ROAD,REHABILITATION,100.7,515,49.4,3,0,60.7,92.1,68,819,1
INDUSTRIAL,NOTIFICATION,137.83,600,48.1,5,1,63.2,60.1,63,224,1
INDUSTRIAL,VALUATION,201.78,209,50.9,3,4,8.1,16.8,40,1237,1
URBAN,POSSESSION,210.56,12,76.1,5,2,43.8,74.8,14,1194,1
IRRIGATION,NOTIFICATION,41.61,613,29.7,2,1,87.1,20.5,80,47,1
URBAN,REHABILITATION,116.68,14,23.4,2,0,60.1,36.2,7,78,1
INDUSTRIAL,COMPENSATION,187.69,552,82.3,5,3,29.9,51.2,70,361,1
INDUSTRIAL,SURVEY,128.81,97,88.0,4,2,4.2,40.4,56,660,1
URBAN,REHABILITATION,74.69,291,77.5,4,3,62.7,45.1,54,789,1
URBAN,SURVEY,146.67,251,7.5,3,2,83.8,82.4,85,371,1
ROAD,COMPENSATION,50.24,384,97.9,2,4,23.6,49.5,17,665,1
ROAD,NOTIFICATION,106.15,142,99.4,4,3,60.6,90.1,71,452,1
INDUSTRIAL,REHABILITATION,46.7,258,65.3,1,4,55.9,1.0,50,1082,1
ROAD,COMPLETED,45.34,667,39.6,4,3,93.4,73.3,71,442,1
URBAN,REHABILITATION,72.73,33,43.7,3,4,80.3,96.7,28,523,1
IRRIGATION,SURVEY,32.6,291,95.3,4,1,36.3,63.1,72,801,1
IRRIGATION,POSSESSION,84.67,37,60.7,1,3,8.6,10.6,82,611,1
ROAD,POSSESSION,40.89,459,48.5,3,1,67.8,14.2,34,418,1
INDUSTRIAL,REHABILITATION,236.6,354,68.1,0,3,72.9,16.5,54,447,0
IRRIGATION,POSSESSION,54.22,595,65.8,5,3,91.1,53.7,71,284,1
URBAN,REHABILITATION,78.66,153,53.2,2,4,23.0,6.2,19,446,1
INDUSTRIAL,VALUATION,127.48,12,79.6,1,1,11.7,94.7,48,1277,1
URBAN,COMPENSATION,81.6,54,52.7,5,3,94.9,37.0,64,1069,1
RAILWAY,COMPENSATION,226.33,583,96.8,1,4,23.2,91.1,1,281,0
ROAD,POSSESSION,101.75,18,90.5,2,3,17.8,0.9,59,570,1
INDUSTRIAL,POSSESSION,68.14,422,15.3,2,2,7.8,93.2,73,83,1
URBAN,COMPENSATION,73.34,99,32.6,5,3,23.9,40.7,2,160,1
URBAN,POSSESSION,91.04,511,61.9,3,0,83.1,30.4,62,190,0
RAILWAY,NOTIFICATION,142.76,670,62.1,0,1,49.1,99.2,87,1239,1
RAILWAY,NOTIFICATION,136.52,565,6.1,5,3,68.9,85.3,20,989,1
RAILWAY,POSSESSION,80.3,619,8.2,2,1,10.8,85.1,68,309,1
ROAD,REHABILITATION,34.26,381,45.4,0,0,80.9,22.5,30,92,0
ROAD,COMPENSATION,42.61,383,99.0,5,1,21.5,60.5,7,1015,1
ROAD,NOTIFICATION,113.88,652,36.6,5,3,90.7,76.3,13,207,1
INDUSTRIAL,VALUATION,86.79,127,7.5,0,3,82.7,92.6,42,716,1
INDUSTRIAL,COMPENSATION,107.4,485,18.4,0,2,84.0,35.7,60,651,1
RAILWAY,POSSESSION,100.1,379,53.7,5,0,73.1,56.8,14,899,1
INDUSTRIAL,REHABILITATION,67.04,374,71.1,1,3,80.5,95.8,22,792,1
IRRIGATION,VALUATION,175.92,423,19.7,2,4,69.6,6.5,13,1219,1
ROAD,COMPENSATION,157.14,632,71.0,3,1,4.0,74.7,60,303,1
ROAD,REHABILITATION,202.79,576,91.0,4,0,14.5,58.5,38,844,1
RAILWAY,COMPENSATION,155.22,634,59.4,2,1,6.6,59.8,60,245,1
RAILWAY,NOTIFICATION,148.65,540,99.6,3,3,23.8,96.8,51,895,1
IRRIGATION,COMPLETED,113.62,444,93.8,3,1,59.2,41.4,72,297,1
IRRIGATION,POSSESSION,171.88,383,12.4,5,4,65.5,65.4,19,879,1
IRRIGATION,COMPENSATION,63.34,497,92.7,4,0,30.6,27.9,27,1127,1
RAILWAY,COMPLETED,47.57,143,81.1,3,1,68.6,94.0,33,867,1
ROAD,NOTIFICATION,62.83,497,80.9,5,4,45.2,68.9,27,697,1
INDUSTRIAL,POSSESSION,58.23,613,93.1,0,4,97.9,60.3,85,358,0
ROAD,SURVEY,86.89,582,11.1,1,3,41.7,90.9,17,1182,1
ROAD,POSSESSION,108.97,225,28.2,5,3,85.3,38.0,77,1282,1
RAILWAY,NOTIFICATION,92.71,400,54.4,0,3,77.7,42.3,29,917,1
IRRIGATION,COMPENSATION,126.41,318,70.6,4,2,88.8,70.2,87,484,1
IRRIGATION,COMPLETED,41.44,271,76.4,3,2,75.1,63.7,46,143,1
RAILWAY,NOTIFICATION,34.77,146,64.3,0,0,68.9,42.2,56,1264,0
IRRIGATION,SURVEY,103.57,488,7.2,1,2,85.9,91.6,14,1264,1
INDUSTRIAL,POSSESSION,121.53,109,58.5,4,3,70.1,12.9,53,622,1
INDUSTRIAL,REHABILITATION,110.86,30,9.5,1,0,49.5,72.9,49,666,0
ROAD,REHABILITATION,68.28,134,77.3,2,3,29.5,49.2,50,498,1
ROAD,VALUATION,90.01,400,55.2,3,2,57.1,60.5,85,80,1
INDUSTRIAL,POSSESSION,189.26,285,90.9,1,4,6.1,32.7,63,96,1
INDUSTRIAL,NOTIFICATION,82.35,119,53.3,3,1,95.5,24.6,23,1104,1
RAILWAY,SURVEY,16.68,277,42.1,4,1,20.2,26.4,32,428,1
URBAN,VALUATION,59.4,622,86.0,2,0,13.0,81.3,3,278,0
IRRIGATION,NOTIFICATION,226.11,263,46.7,4,4,17.9,54.2,2,417,1
INDUSTRIAL,POSSESSION,112.51,484,61.6,4,1,3.2,62.7,37,774,1
URBAN,NOTIFICATION,40.13,351,37.1,0,1,82.5,78.8,33,169,1
ROAD,POSSESSION,63.8,62,59.6,4,1,28.4,49.3,61,571,1
RAILWAY,SURVEY,85.02,112,67.5,2,4,16.8,5.9,76,399,1
RAILWAY,VALUATION,28.7,345,46.4,2,3,63.8,7.6,47,424,1
RAILWAY,POSSESSION,151.45,55,20.9,0,1,41.1,72.6,70,919,1
RAILWAY,NOTIFICATION,327.14,144,49.2,2,0,96.5,11.3,47,1214,1
INDUSTRIAL,VALUATION,310.78,327,14.5,3,3,23.0,68.8,6,1152,1
INDUSTRIAL,REHABILITATION,110.06,263,76.5,2,2,0.2,25.6,3,482,1
URBAN,COMPLETED,76.31,670,17.0,0,1,53.9,51.6,27,158,1
INDUSTRIAL,VALUATION,188.82,425,20.8,2,1,46.7,19.9,12,406,1
URBAN,COMPLETED,147.96,208,35.8,5,4,71.9,40.9,11,464,1
IRRIGATION,POSSESSION,129.39,392,10.7,1,3,5.4,88.9,56,405,1
RAILWAY,COMPLETED,62.03,48,66.4,4,0,43.9,58.2,23,477,0
RAILWAY,COMPENSATION,101.37,387,45.6,0,4,84.6,82.7,23,40,1
ROAD,POSSESSION,250.75,618,69.8,1,3,74.5,33.8,39,721,1
INDUSTRIAL,COMPLETED,62.74,691,48.6,5,1,0.2,45.5,62,399,1
RAILWAY,REHABILITATION,46.44,650,66.1,0,3,96.4,40.0,44,854,1
ROAD,REHABILITATION,26.0,518,36.5,0,1,2.7,62.8,7,550,1
INDUSTRIAL,POSSESSION,253.62,263,44.8,3,4,71.5,30.4,10,1178,1
ROAD,COMPENSATION,87.32,533,44.6,3,2,90.3,4.9,24,738,1
URBAN,NOTIFICATION,103.88,393,60.4,2,2,39.7,57.0,60,1023,1
ROAD,REHABILITATION,84.0,245,29.5,3,2,8.7,8.1,71,150,1
RAILWAY,COMPENSATION,91.06,96,13.2,2,3,48.0,82.6,24,619,1
RAILWAY,POSSESSION,101.51,456,17.2,4,4,81.3,7.4,49,610,1
INDUSTRIAL,NOTIFICATION,157.69,536,75.7,1,3,37.7,19.3,79,1170,1
INDUSTRIAL,VALUATION,58.6,150,50.4,5,0,28.7,76.9,67,1148,1
ROAD,VALUATION,166.66,124,73.4,0,0,65.7,8.1,40,1258,0
URBAN,SURVEY,141.87,628,27.3,2,3,4.7,87.7,74,554,1
IRRIGATION,SURVEY,102.03,384,56.5,5,0,13.5,17.5,83,105,1
ROAD,VALUATION,172.74,628,52.2,3,1,14.7,65.1,25,860,1
RAILWAY,POSSESSION,105.63,626,16.0,5,1,64.1,55.3,68,160,1
RAILWAY,NOTIFICATION,92.16,295,78.6,2,0,1.9,3.4,22,708,1
URBAN,SURVEY,191.19,598,52.1,1,2,26.4,8.8,45,742,1
INDUSTRIAL,SURVEY,136.84,489,99.4,3,0,69.8,63.2,85,254,1
INDUSTRIAL,COMPENSATION,100.24,29,40.6,2,3,70.5,25.1,65,115,1
URBAN,VALUATION,87.26,162,20.0,5,1,71.6,74.5,71,476,1
URBAN,COMPLETED,123.29,587,22.0,3,3,24.8,33.5,3,904,1
URBAN,VALUATION,88.31,617,9.9,4,3,95.1,73.7,13,97,1
IRRIGATION,POSSESSION,177.53,436,54.6,2,2,20.2,36.7,72,791,1
ROAD,POSSESSION,217.73,428,77.4,1,1,93.8,86.1,47,962,1
IRRIGATION,REHABILITATION,50.88,322,54.0,3,3,82.4,9.5,85,1228,1
RAILWAY,COMPENSATION,233.42,468,97.6,4,1,28.4,77.1,13,951,1
IRRIGATION,COMPLETED,101.16,263,17.8,5,2,84.1,52.3,12,393,1
ROAD,SURVEY,99.57,150,30.9,1,3,50.1,42.1,15,1112,1
ROAD,COMPLETED,216.38,65,86.7,1,1,15.2,65.9,60,281,1
INDUSTRIAL,COMPLETED,39.91,324,37.3,5,3,78.4,32.7,84,377,1
IRRIGATION,VALUATION,207.2,639,85.7,2,2,43.4,69.9,62,874,1
INDUSTRIAL,POSSESSION,101.43,653,69.1,4,2,77.7,18.9,7,566,1
INDUSTRIAL,NOTIFICATION,92.39,72,28.0,0,1,48.1,56.0,65,724,1
RAILWAY,COMPLETED,33.48,206,21.6,4,0,13.7,77.0,4,257,1
ROAD,SURVEY,144.5,327,39.8,3,2,60.2,68.6,59,800,1
RAILWAY,VALUATION,21.91,85,22.3,3,3,4.3,60.9,88,376,1
RAILWAY,COMPENSATION,180.51,157,64.2,1,2,73.5,89.2,8,872,1
RAILWAY,COMPENSATION,100.63,193,10.6,2,2,70.9,76.6,34,1220,1
IRRIGATION,COMPENSATION,340.98,579,53.9,1,3,81.3,49.3,43,763,1
IRRIGATION,SURVEY,112.58,62,13.8,0,0,78.4,2.9,5,368,1
INDUSTRIAL,REHABILITATION,127.06,447,59.4,3,4,6.6,83.5,11,804,1
URBAN,REHABILITATION,206.58,628,40.3,5,1,5.1,54.8,66,498,1
IRRIGATION,SURVEY,305.12,561,5.7,1,3,93.0,28.6,36,882,1
INDUSTRIAL,POSSESSION,14.71,390,48.2,4,4,49.3,54.0,13,618,1
INDUSTRIAL,SURVEY,63.75,636,87.3,5,0,37.7,44.4,38,1125,1
RAILWAY,SURVEY,52.98,407,98.4,1,4,39.6,61.0,31,369,0
RAILWAY,COMPENSATION,86.14,698,95.2,5,2,3.2,77.9,54,168,1
ROAD,COMPLETED,62.37,280,29.8,4,1,2.3,69.3,20,1132,1
INDUSTRIAL,SURVEY,237.99,572,27.4,2,1,77.1,69.5,54,71,1
INDUSTRIAL,REHABILITATION,111.09,426,96.9,0,1,40.2,79.2,84,1088,1
ROAD,NOTIFICATION,180.6,605,94.0,3,2,62.8,36.9,10,1156,1
RAILWAY,NOTIFICATION,89.15,179,23.8,2,2,50.2,31.5,34,350,1
INDUSTRIAL,NOTIFICATION,44.3,517,39.5,2,4,73.1,93.0,83,729,1
ROAD,SURVEY,200.68,279,48.9,3,2,5.4,94.9,68,1297,1
URBAN,POSSESSION,81.06,641,62.9,1,1,54.9,20.9,35,841,1
RAILWAY,NOTIFICATION,77.38,595,51.1,4,1,91.0,71.3,77,727,1
URBAN,REHABILITATION,122.66,71,6.2,5,0,34.3,79.8,80,47,0
ROAD,NOTIFICATION,116.47,554,74.5,3,4,3.4,69.8,77,1155,1
IRRIGATION,COMPLETED,71.44,248,44.4,5,2,84.6,0.9,42,872,1
ROAD,COMPENSATION,77.0,552,6.1,4,3,24.4,79.6,75,970,1
IRRIGATION,COMPLETED,56.76,391,84.3,5,2,95.0,18.3,62,529,1
INDUSTRIAL,REHABILITATION,41.65,373,73.9,0,0,19.7,18.9,18,1190,0
RAILWAY,NOTIFICATION,196.23,66,25.5,0,3,60.2,0.9,77,691,1
IRRIGATION,NOTIFICATION,52.69,198,34.3,4,3,7.9,46.5,63,814,1
RAILWAY,REHABILITATION,26.65,184,67.3,4,3,75.9,88.0,74,591,1
RAILWAY,VALUATION,159.59,194,12.6,0,3,74.3,93.1,8,1229,1
IRRIGATION,VALUATION,111.23,118,57.7,5,3,27.4,30.6,41,995,1
RAILWAY,SURVEY,42.72,335,69.3,5,1,26.6,71.1,84,1199,1
RAILWAY,COMPENSATION,185.58,675,63.0,0,1,92.6,54.0,89,840,1
URBAN,VALUATION,121.5,648,24.8,1,1,83.4,74.0,26,927,1
URBAN,VALUATION,77.37,260,76.0,2,4,45.9,27.3,62,56,1
IRRIGATION,SURVEY,68.61,509,57.5,4,3,40.2,52.4,17,1037,1
URBAN,REHABILITATION,78.09,196,91.7,0,2,24.9,72.1,32,110,0
INDUSTRIAL,REHABILITATION,76.87,692,50.1,2,3,71.7,96.4,29,683,1
INDUSTRIAL,REHABILITATION,326.93,143,97.5,4,4,96.9,12.8,3,454,1
URBAN,COMPLETED,53.73,173,89.6,0,3,76.3,58.4,62,852,0
INDUSTRIAL,POSSESSION,153.15,680,47.2,4,2,17.8,35.5,30,784,1
URBAN,NOTIFICATION,32.08,272,79.2,4,3,5.3,11.4,7,547,1
ROAD,NOTIFICATION,63.01,57,15.9,3,0,32.8,80.4,43,1133,1
ROAD,VALUATION,87.14,178,19.7,5,3,31.4,1.6,82,824,1
IRRIGATION,VALUATION,35.73,16,88.6,2,0,46.6,29.2,64,566,0
ROAD,NOTIFICATION,69.22,622,33.0,5,0,61.7,46.1,9,1153,1
URBAN,COMPENSATION,46.99,615,61.4,4,4,24.7,7.1,59,274,1
RAILWAY,COMPENSATION,82.03,376,98.9,2,2,78.4,91.1,60,617,1
URBAN,SURVEY,177.63,380,31.3,2,2,29.9,39.3,49,856,1
IRRIGATION,POSSESSION,84.98,385,17.9,2,1,47.1,24.8,58,881,1
IRRIGATION,VALUATION,96.83,59,82.1,1,2,90.2,12.2,45,839,0
ROAD,VALUATION,143.28,393,93.3,2,0,94.6,47.1,42,555,0
IRRIGATION,COMPLETED,107.69,434,56.2,3,1,30.4,87.1,43,326,0
IRRIGATION,COMPENSATION,74.19,208,45.0,5,0,30.3,58.0,62,334,1
ROAD,VALUATION,33.48,389,88.9,3,1,70.1,62.4,77,1294,1
RAILWAY,NOTIFICATION,95.62,332,93.0,0,0,47.8,53.5,43,617,0
INDUSTRIAL,NOTIFICATION,223.44,29,44.1,2,4,47.6,83.9,5,118,1
URBAN,POSSESSION,71.41,97,87.1,4,0,14.4,30.0,79,1262,1
RAILWAY,SURVEY,19.0,123,60.7,3,4,46.8,77.6,63,1225,1
IRRIGATION,VALUATION,213.35,307,70.1,4,2,56.9,59.2,8,172,0
RAILWAY,POSSESSION,45.08,142,71.3,5,4,37.2,36.4,69,1165,1
INDUSTRIAL,REHABILITATION,61.52,385,95.7,1,1,93.3,80.8,84,639,0
URBAN,POSSESSION,107.21,569,29.1,4,1,26.2,2.2,4,678,1
INDUSTRIAL,POSSESSION,30.21,246,95.4,5,4,68.9,19.6,16,677,1
IRRIGATION,POSSESSION,53.41,67,25.3,5,0,88.6,65.1,78,111,0
ROAD,POSSESSION,83.35,534,42.6,1,0,47.1,85.0,78,730,0
RAILWAY,SURVEY,93.7,495,38.9,3,3,85.8,35.5,48,249,1
IRRIGATION,REHABILITATION,242.54,83,93.8,4,4,86.5,83.0,15,846,1
RAILWAY,COMPLETED,139.52,84,81.7,4,1,19.4,91.1,24,845,1
RAILWAY,POSSESSION,151.1,146,20.6,5,0,16.8,34.4,85,179,1
IRRIGATION,COMPLETED,29.04,682,23.8,3,1,86.5,82.6,73,937,1
URBAN,COMPLETED,18.92,350,47.8,4,2,82.2,9.8,31,169,1
RAILWAY,NOTIFICATION,167.92,414,46.3,3,3,6.9,53.7,41,1294,1
ROAD,VALUATION,137.67,32,36.0,1,3,8.6,18.5,56,99,1
IRRIGATION,POSSESSION,121.35,145,92.8,3,2,24.5,39.2,55,247,1
RAILWAY,NOTIFICATION,41.31,627,23.3,0,4,44.3,24.3,77,349,1
IRRIGATION,SURVEY,94.11,620,78.4,0,0,37.8,77.3,22,1057,0
IRRIGATION,COMPLETED,73.19,83,79.7,1,1,12.5,34.1,45,537,1
URBAN,SURVEY,231.81,35,59.2,4,4,93.6,81.6,2,878,1
RAILWAY,SURVEY,34.18,200,64.3,3,4,16.5,68.2,60,283,1
IRRIGATION,COMPENSATION,59.67,394,81.2,5,1,25.4,81.3,88,1145,1
ROAD,COMPLETED,133.48,499,55.0,4,3,67.3,30.1,41,808,1
ROAD,NOTIFICATION,249.07,46,32.1,0,1,88.7,87.4,71,979,1
ROAD,COMPLETED,32.32,602,19.9,0,2,48.3,51.2,67,75,1
ROAD,POSSESSION,83.58,527,71.5,4,1,1.3,12.8,43,1261,1
RAILWAY,POSSESSION,14.26,383,38.0,3,1,7.9,25.7,78,305,1
RAILWAY,VALUATION,271.63,198,6.5,3,3,93.7,4.5,34,707,1
URBAN,COMPLETED,98.52,136,52.0,2,4,41.2,77.5,23,894,1
URBAN,COMPENSATION,134.89,681,90.0,5,3,54.3,84.6,62,323,1
RAILWAY,VALUATION,232.79,614,81.8,5,3,33.2,82.0,29,807,1
IRRIGATION,NOTIFICATION,220.85,273,36.0,5,2,81.8,18.7,33,729,1
RAILWAY,REHABILITATION,160.49,404,27.6,1,4,54.2,43.6,25,529,1
URBAN,VALUATION,73.22,689,65.4,2,1,92.2,13.7,76,1149,1
ROAD,COMPENSATION,18.1,201,98.1,1,2,27.0,17.4,21,623,0
URBAN,REHABILITATION,130.83,273,64.3,5,1,48.6,58.2,63,799,1
IRRIGATION,COMPENSATION,112.42,107,95.5,2,2,30.1,97.5,86,898,1
ROAD,SURVEY,39.22,430,51.3,0,0,74.6,46.2,45,463,0
RAILWAY,VALUATION,170.6,256,30.8,4,1,53.0,68.6,14,436,1
RAILWAY,COMPENSATION,59.28,677,20.9,3,2,13.1,22.7,83,569,1
IRRIGATION,REHABILITATION,107.46,441,62.2,4,4,78.5,5.6,33,234,0
IRRIGATION,SURVEY,102.65,685,38.9,3,2,82.0,10.9,69,1182,1
ROAD,REHABILITATION,35.73,212,54.8,1,3,51.9,53.6,45,312,0
ROAD,POSSESSION,55.37,40,70.6,5,3,10.8,47.2,49,485,1
INDUSTRIAL,POSSESSION,327.95,237,10.3,0,0,92.2,14.4,67,736,0
IRRIGATION,REHABILITATION,174.41,584,65.2,5,1,89.6,66.2,58,1202,1
RAILWAY,NOTIFICATION,63.6,358,43.3,1,4,38.6,98.5,51,933,1
URBAN,REHABILITATION,136.57,75,38.6,0,0,60.0,67.9,26,141,0
URBAN,SURVEY,119.23,121,9.6,2,2,46.4,69.5,50,120,1
INDUSTRIAL,REHABILITATION,17.24,426,78.3,0,4,43.3,40.5,17,1031,1
INDUSTRIAL,REHABILITATION,97.11,148,95.7,5,2,54.2,8.6,59,791,1
ROAD,COMPLETED,80.61,497,47.6,3,2,19.8,89.0,6,1225,1
INDUSTRIAL,COMPENSATION,47.32,631,99.2,2,0,25.7,42.0,45,1036,0
URBAN,VALUATION,162.61,692,30.6,0,2,28.7,6.1,74,1271,1
INDUSTRIAL,COMPLETED,8.22,319,60.6,3,3,32.8,71.6,18,1061,1
IRRIGATION,SURVEY,153.84,74,35.5,4,1,4.3,96.9,19,694,1
IRRIGATION,NOTIFICATION,154.01,601,17.5,4,2,88.6,28.2,80,448,1
INDUSTRIAL,POSSESSION,228.48,230,43.8,2,2,84.2,24.2,78,387,1
IRRIGATION,REHABILITATION,55.97,357,91.2,3,3,86.9,89.9,73,1016,1
IRRIGATION,POSSESSION,78.13,396,25.4,2,2,36.3,30.1,13,154,1
IRRIGATION,COMPENSATION,242.73,314,47.4,0,4,33.1,64.1,24,1007,1
ROAD,REHABILITATION,75.78,200,65.5,4,1,83.7,50.9,20,519,0
INDUSTRIAL,COMPLETED,127.56,577,99.0,2,2,66.4,60.5,72,955,1
IRRIGATION,VALUATION,107.27,381,69.6,4,1,94.4,55.5,7,931,1
IRRIGATION,VALUATION,302.53,675,30.4,4,0,17.7,91.0,86,107,1
INDUSTRIAL,COMPENSATION,173.78,352,55.6,4,1,60.0,89.3,43,662,1
URBAN,VALUATION,58.66,452,58.9,2,0,32.3,86.1,67,158,0
IRRIGATION,POSSESSION,89.04,246,76.0,0,0,51.4,29.2,52,1103,1
RAILWAY,NOTIFICATION,156.04,322,60.8,3,3,1.8,55.9,45,1183,1
IRRIGATION,SURVEY,177.78,19,27.1,5,2,36.6,77.6,60,713,1
INDUSTRIAL,COMPLETED,105.96,234,85.1,1,0,90.7,72.3,58,303,0
INDUSTRIAL,VALUATION,47.81,226,49.8,4,2,55.9,81.5,70,443,1
URBAN,REHABILITATION,38.86,42,51.8,3,2,50.9,76.8,18,297,1
IRRIGATION,COMPENSATION,131.85,402,92.6,1,0,39.4,72.0,8,490,0
URBAN,REHABILITATION,12.25,157,93.9,1,2,50.3,10.2,13,911,1
ROAD,NOTIFICATION,89.09,114,47.9,1,2,81.5,14.2,49,214,1
URBAN,COMPENSATION,96.3,208,88.0,4,4,32.3,20.5,20,886,1
URBAN,POSSESSION,27.02,260,57.2,3,0,83.5,59.4,82,1081,1
ROAD,REHABILITATION,118.36,40,11.7,3,4,38.0,63.0,27,330,1
IRRIGATION,POSSESSION,82.71,545,5.2,0,0,86.1,28.3,31,897,1
IRRIGATION,COMPLETED,96.91,600,98.9,0,1,62.0,15.3,84,70,0
